tweet,answer
ይህንን ይህንን መኪና እወዳለሁ ፡፡,Pos
ይህ እይታ አስደናቂ ነው ፡፡,Pos
ዛሬ ጠዋት ጥሩ ስሜት ይሰማኛል ፡፡,Pos
ስለ ኮንሰርት በጣም ተደስቻለሁ ፡፡,Pos
እኔ ዛሬ ደስተኛ ነኝ ፡፡,Pos
ሁሉም ነገር ጥሩ ነው።,Pos
ፍጹም ቆንጆ ነው፡፡,Pos
ሙዚቃውን እወዳለሁ።,Pos
ድንቅ ነህ፡፡,Pos
እሷ አስገራሚ ናት ፡፡,Pos
እሱ አስደናቂ ነው ፡፡,Pos
በጣም ወድጄዋለሁ።,Pos
ወድጀዋለሁ፡፡,Pos
ያ ድንቅ ነው ፡፡,Pos
ጥሩ ነው ፡፡,Pos
ላፕቶፑ በጣም ጥሩ ጥራት አለው ፡፡,Pos
አገሬን እወዳለሁ ፡፡,Pos
ይዘቱን እንዴት እንደምታቀርቡ እወዳለሁ።,Pos
የዝግጅት አቀራረብ ጥሩ ነበር።,Pos
ድስ የሚሉ ጀብዱዎች አሉን፡፡፡፡,Pos
ምግቡ በጣም ጥሩ ነው።,Pos
ሙዚቃ መጫወት ይወዳል።,Pos
እሷ ጥሩ ነገር ታደርጋለች።,Pos
ቆንጆ ናት።,Pos
በጣም እወዳለሁ።,Pos
እሷ ጥሩ ሰው ነች።,Pos
ምግቡ ቆንጆ ነው።,Pos
እሱ መልካም ሰው ነው ፡፡,Pos
እሱ ጥሩronno ነው ፡፡,Pos
ትሑት ናት ፡፡,Pos
አስደሳች ነው ፡፡,Pos
ፊልሙ ጥሩ ስሜት ቀስቃሽ ስሜት አለው።,Pos
እሱ የቅርብ ጓደኛዬ ነው ፡፡,Pos
እሷ ምርጥ ናት!,Pos
እሱ በጣም ጥሩ ሰው ነው ፡፡,Pos
አስደናቂ ቦታ ነው ፡፡,Pos
መጫወት እወዳለሁ።,Pos
እሷ ተወዳጅ ናት ፡፡,Pos
ደፋር ነው ፡፡,Pos
ሕፃኑ ብሩህ ነው ፡፡,Pos
እሱ የተረጋጋ ሰው ነው፡፡,Pos
እሷ ጥሩ ነች።,Pos
እሷ ቆንጆ ናት።,Pos
ደስ የሚል ነው ፡፡,Pos
እሱ ደስተኛ ነው።,Pos
የመልካም እንቅስቃሴ ነው።,Pos
ትምርቱን ተረድቻለሁ ፡፡,Pos
አንድ ቆንጆ ሥራ ሰርተዋል።,Pos
ነፃ ነን፡፡,Pos
እድለኛ ነኝ፡፡,Neg
እኔ ጥሩ አይደለሁም ፡፡,Neg
ለስኬት መንገድ ይህ አይደለም ፡፡,Neg
ጥሩ ምግብ እየበላ አልነበረም ፡፡,Neg
አዝነናል ፡፡,Neg
እነሱ ዴሞክራሲ የላቸውም ፡፡,Neg
ቢክራም ዮጋን አልወደደችም ፡፡,Neg
እነሱ መጥፎዎች ናቸው ፡፡,Neg
ይህንን መኪና አልወድም ፡፡,Neg
ይህ አመለካከት አሰቃቂ ነው ፡፡,Neg
አሰልቺ ነው፡፡,Neg
እሱ መጥፎ ነው ፡፡,Neg
እሱ የሚያስደንቅ ነው።,Neg
እሷ ሰነፍ ነች።,Neg
ይህንን አልመርጥም ፡፡,Neg
ዕድለኛ አይደለህም ፡፡,Neg
ትልቅ ችግር ነው ፡፡,Neg
መጥፎ ባሕርይ አላት ፡፡,Neg
ይህ በጣም አደገኛ ሁኔታ ነው ፡፡,Neg
አገልግሎቱ ጥሩ አይደለም ፡፡,Neg
በጭራሽ ጥሩ አይደለም።,Neg
እያለቀሰች ነው ፡፡,Neg
ሞቶአል።,Neg
ጥሩ አይደለም፡፡,Neg
የሚረብሽ ነው።,Neg
የእርስዎ ጥፋት ነው።,Neg
እርስዎ መጥፎ ሰው ነዎት።,Neg
የጥፋተኝነት ስሜት ተሰምቷት ነበር።,Neg
የተራቀቀ ችግር ነው ፡፡,Neg
ጎጂ ልምምድ ነው ፡፡,Neg
